true_label,baseline_score,baseline_prediction,baseline_correct,context_score,context_prediction,context_correct,adjustment,user_risk,changed
1,60.0,1,True,40.0,0,False,-20.0,minimal_risk,True
1,60.0,1,True,60.0,1,True,0.0,minimal_risk,False
1,68.0,1,True,68.0,1,True,0.0,high_risk,False
1,68.0,1,True,76.0,1,True,8.0,high_risk,False
1,52.0,1,True,55.0,1,True,3.0,high_risk,False
1,52.0,1,True,52.0,1,True,0.0,minimal_risk,False
1,71.0,1,True,43.0,0,False,-28.0,minimal_risk,True
1,60.0,1,True,63.0,1,True,3.0,medium_risk,False
1,52.0,1,True,52.0,1,True,0.0,medium_risk,False
1,52.0,1,True,60.0,1,True,8.0,high_risk,False
1,52.0,1,True,32.0,0,False,-20.0,minimal_risk,True
1,60.0,1,True,60.0,1,True,0.0,medium_risk,False
1,68.0,1,True,68.0,1,True,0.0,minimal_risk,False
1,60.0,1,True,60.0,1,True,0.0,minimal_risk,False
1,60.0,1,True,40.0,0,False,-20.0,minimal_risk,True
1,60.0,1,True,68.0,1,True,8.0,minimal_risk,False
1,63.0,1,True,43.0,0,False,-20.0,minimal_risk,True
1,76.0,1,True,71.0,1,True,-5.0,high_risk,False
1,52.0,1,True,52.0,1,True,0.0,medium_risk,False
1,68.0,1,True,68.0,1,True,0.0,minimal_risk,False
1,76.0,1,True,56.0,1,True,-20.0,minimal_risk,False
1,76.0,1,True,56.0,1,True,-20.0,minimal_risk,False
1,68.0,1,True,68.0,1,True,0.0,medium_risk,False
1,60.0,1,True,68.0,1,True,8.0,high_risk,False
1,68.0,1,True,68.0,1,True,0.0,low_risk,False
1,60.0,1,True,60.0,1,True,0.0,low_risk,False
1,68.0,1,True,48.0,0,False,-20.0,minimal_risk,True
1,76.0,1,True,76.0,1,True,0.0,medium_risk,False
1,20.0,0,False,20.0,0,False,0.0,medium_risk,False
1,60.0,1,True,40.0,0,False,-20.0,minimal_risk,True
1,68.0,1,True,68.0,1,True,0.0,medium_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
1,76.0,1,True,76.0,1,True,0.0,medium_risk,False
1,76.0,1,True,84.0,1,True,8.0,high_risk,False
1,68.0,1,True,68.0,1,True,0.0,medium_risk,False
1,60.0,1,True,63.0,1,True,3.0,high_risk,False
1,60.0,1,True,60.0,1,True,0.0,minimal_risk,False
1,68.0,1,True,71.0,1,True,3.0,high_risk,False
1,68.0,1,True,48.0,0,False,-20.0,minimal_risk,True
1,68.0,1,True,76.0,1,True,8.0,high_risk,False
1,68.0,1,True,76.0,1,True,8.0,high_risk,False
1,60.0,1,True,8.0,0,False,-52.0,minimal_risk,True
1,60.0,1,True,68.0,1,True,8.0,high_risk,False
1,28.0,0,False,28.0,0,False,0.0,low_risk,False
0,9.6,0,True,9.6,0,True,0.0,minimal_risk,False
0,4.0,0,True,0.0,0,True,-4.0,minimal_risk,False
0,4.0,0,True,4.0,0,True,0.0,low_risk,False
0,16.0,0,True,19.0,0,True,3.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,0.0,0,True,0.0,0,True,0.0,minimal_risk,False
0,28.0,0,True,28.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,0.0,0,True,4.0,0,True,4.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,medium_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,8.0,0,True,0.8,0,True,-7.2,minimal_risk,False
0,16.0,0,True,24.0,0,True,8.0,high_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,17.6,0,True,0.0,0,True,-17.6,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,9.6,0,True,0.0,0,True,-9.6,minimal_risk,False
0,16.0,0,True,20.0,0,True,4.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,0.0,0,True,0.0,0,True,0.0,minimal_risk,False
0,20.0,0,True,20.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,4.0,0,True,-4.0,low_risk,False
0,0.0,0,True,0.0,0,True,0.0,low_risk,False
0,60.0,1,False,40.0,0,True,-20.0,minimal_risk,True
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,4.0,0,True,16.0,0,True,12.0,high_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,4.0,0,True,8.0,0,True,4.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,4.0,0,True,0.0,0,True,-4.0,minimal_risk,False
0,0.0,0,True,0.0,0,True,0.0,minimal_risk,False
0,28.0,0,True,24.0,0,True,-4.0,high_risk,False
0,9.6,0,True,0.0,0,True,-9.6,minimal_risk,False
0,52.0,1,False,52.0,1,False,0.0,low_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,29.6,0,True,29.6,0,True,0.0,low_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,9.6,0,True,9.6,0,True,0.0,low_risk,False
0,28.0,0,True,31.0,0,True,3.0,high_risk,False
0,8.0,0,True,11.0,0,True,3.0,medium_risk,False
0,20.0,0,True,0.0,0,True,-20.0,minimal_risk,False
0,9.6,0,True,0.0,0,True,-9.6,minimal_risk,False
0,4.0,0,True,8.0,0,True,4.0,minimal_risk,False
0,9.6,0,True,9.6,0,True,0.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,medium_risk,False
0,4.0,0,True,7.0,0,True,3.0,medium_risk,False
0,9.6,0,True,12.6,0,True,3.0,high_risk,False
0,8.0,0,True,16.0,0,True,8.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,4.0,0,True,-4.0,minimal_risk,False
0,4.0,0,True,4.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,8.0,0,True,7.0,0,True,-1.0,medium_risk,False
0,4.0,0,True,0.0,0,True,-4.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,12.0,0,True,4.0,high_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,4.0,0,True,7.0,0,True,3.0,medium_risk,False
0,60.0,1,False,60.0,1,False,0.0,minimal_risk,False
0,68.0,1,False,68.0,1,False,0.0,minimal_risk,False
0,8.0,0,True,16.0,0,True,8.0,low_risk,False
0,20.0,0,True,28.0,0,True,8.0,high_risk,False
